,Name,DT Name,SnapPy Name,Stage 1,MDP,4DCrossCap (KnotInfo),4DCrossCap (Model)
2219,12n_131,12n_131,K12n131,Success,N/A,,1
2220,12n_132,12n_132,K12n132,Success,N/A,,1
2221,12n_133,12n_133,K12n133,Success,N/A,,1
2222,12n_134,12n_134,K12n134,Success,N/A,,1
2223,12n_135,12n_135,K12n135,Success,N/A,,1
2224,12n_136,12n_136,K12n136,Success,N/A,,1
2225,12n_137,12n_137,K12n137,Fail,N/A,,
2226,12n_138,12n_138,K12n138,Success,N/A,,1
2227,12n_139,12n_139,K12n139,Success,N/A,,1
2228,12n_140,12n_140,K12n140,Fail,N/A,,
2229,12n_141,12n_141,K12n141,Success,N/A,,1
2230,12n_142,12n_142,K12n142,Success,N/A,,1
2231,12n_143,12n_143,K12n143,Success,N/A,,1
2232,12n_144,12n_144,K12n144,Success,N/A,,1
2233,12n_145,12n_145,K12n145,Success,N/A,,1
2234,12n_146,12n_146,K12n146,Success,N/A,,1
2235,12n_147,12n_147,K12n147,Fail,N/A,,
2236,12n_148,12n_148,K12n148,Fail,N/A,,
2237,12n_149,12n_149,K12n149,Success,N/A,,1
2238,12n_150,12n_150,K12n150,Fail,N/A,,
2239,12n_151,12n_151,K12n151,Success,N/A,,1
2240,12n_152,12n_152,K12n152,Fail,N/A,,
2241,12n_153,12n_153,K12n153,Fail,N/A,,
2242,12n_154,12n_154,K12n154,Success,N/A,,1
2243,12n_155,12n_155,K12n155,Fail,N/A,,
2244,12n_156,12n_156,K12n156,Fail,N/A,,
2245,12n_157,12n_157,K12n157,Success,N/A,,1
2246,12n_158,12n_158,K12n158,Fail,N/A,,
2247,12n_159,12n_159,K12n159,Fail,N/A,,
2248,12n_160,12n_160,K12n160,Fail,N/A,,
2249,12n_161,12n_161,K12n161,Success,N/A,,1
2250,12n_162,12n_162,K12n162,Fail,N/A,,
2251,12n_163,12n_163,K12n163,Fail,N/A,,
2252,12n_164,12n_164,K12n164,Fail,N/A,,
2253,12n_165,12n_165,K12n165,Success,N/A,,1
2254,12n_166,12n_166,K12n166,Success,N/A,,1
2255,12n_167,12n_167,K12n167,Success,N/A,,1
2256,12n_168,12n_168,K12n168,Success,N/A,,1
2257,12n_169,12n_169,K12n169,Fail,N/A,,
2258,12n_170,12n_170,K12n170,Success,N/A,,1
2259,12n_171,12n_171,K12n171,Success,N/A,,1
2260,12n_172,12n_172,K12n172,Fail,N/A,,
2261,12n_173,12n_173,K12n173,Fail,N/A,,
2262,12n_174,12n_174,K12n174,Fail,N/A,,
2263,12n_175,12n_175,K12n175,Success,N/A,,1
2264,12n_176,12n_176,K12n176,Success,N/A,,1
2265,12n_177,12n_177,K12n177,Success,N/A,,1
2266,12n_178,12n_178,K12n178,Fail,N/A,,
2267,12n_179,12n_179,K12n179,Success,N/A,,1
2268,12n_180,12n_180,K12n180,Success,N/A,,1
2269,12n_181,12n_181,K12n181,Success,N/A,,1
2270,12n_182,12n_182,K12n182,Success,N/A,,1
2271,12n_183,12n_183,K12n183,Success,N/A,,1
2272,12n_184,12n_184,K12n184,Success,N/A,,1
2273,12n_185,12n_185,K12n185,Fail,N/A,,
2274,12n_186,12n_186,K12n186,Fail,N/A,,
2275,12n_187,12n_187,K12n187,Success,N/A,,1
2276,12n_188,12n_188,K12n188,Fail,N/A,,
2277,12n_189,12n_189,K12n189,Success,N/A,,1
2278,12n_190,12n_190,K12n190,Fail,N/A,,
2279,12n_191,12n_191,K12n191,Success,N/A,,1
2280,12n_192,12n_192,K12n192,Success,N/A,,1
2281,12n_193,12n_193,K12n193,Success,N/A,,1
